date,pair,tz,open,high,low,close,mid_open,mid_high,mid_low,mid_close,bid_close,ask_close,spread_close,change,change_pct,samples,first_at,last_at,source_as_of,simulated
2026-09-13,USD/KHR,+07:00,4054,4054,4054,4054,4054,4054,4054,4054,4049,4059,10,0,0,1,2026-09-13T13:17:41.393Z,2026-09-13T13:17:41.393Z,2026-09-11,false
2026-09-14,USD/KHR,+07:00,4054,4055,4054,4055,4054,4055,4054,4055,4051,4059,8,1,0.024667,5,2026-09-13T17:22:55.643Z,2026-09-14T14:50:01.414Z,2026-09-14,false
2026-09-15,USD/KHR,+07:00,4055,4055,4055,4055,4055,4055,4055,4055,4051,4059,8,0,0,5,2026-09-14T19:45:35.852Z,2026-09-15T13:16:48.198Z,2026-09-15,false
2026-09-16,USD/KHR,+07:00,4055,4055,4055,4055,4055,4055,4055,4055,4051,4059,8,0,0,6,2026-09-15T18:01:22.925Z,2026-09-16T14:41:59.657Z,2026-09-16,false
2026-09-17,USD/KHR,+07:00,4055,4055,4055,4055,4055,4055,4055,4055,4051,4059,8,0,0,6,2026-09-16T18:44:47.943Z,2026-09-17T16:31:26.687Z,2026-09-17,false
